US AIRPORT STATISTICS

This dataset consists of all 135 large and medium sized air hubs
in the United States as defined by the Federal Aviation Administration.

SOURCE:
U.S. Federal Aviation Administration and Research and Special
Programs Administration, 'Airport Activity Statistics' (1990).

SPECIAL NOTES:
These are the only cities provided in this source. Although,
it is not a census of all air hubs, it is a census of all
medium and large hubs as classified by FAA

VARIABLE DESCRIPTIONS:
Airport                               Columns 1-21
City                                  Columns 22-43 
Scheduled departures                  Columns 44-49 
Performed departures                  Columns 51-56
Enplaned passengers                   Columns 58-65
Enplaned revenue tons of freight      Columns 67-75
Enplaned revenue tons of mail         Columns 77-85

Airport              City                  SchDpt PrfDpt EnPsngrs EnRevFrgt  EnRevMal
HARTSFIELD INTL      ATLANTA               285693 288803 22665665 165668.76  93039.48
BALTO/WASH INTL      BALTIMORE              73300  74048  4420425  18041.52  19722.93
LOGAN INTL           BOSTON                114153 115524  9549585 127815.09  29785.72
DOUGLAS MUNI         CHARLOTTE             120210 121798  7076954  36242.84  15399.46
MIDWAY               CHICAGO                64465  66389  3547040   4494.78   4485.58
O'HARE INTL          CHICAGO               322430 332338 25636383 300463.80 140359.38
DALLAS/FT WORTH INTL DALLAS/FT WORTH       266737 269665 22899267 142660.95  86706.76
LOVE FIELD           DALLAS/FT WORTH        39481  40196  2882836   2216.70    242.87
STAPLETON INTL       DENVER                154067 156293 11961839  67345.75  38043.73
DETROIT CITY         DETROIT                 6828   7162   362655    258.08      0.00
WAYNE COUNTY         DETROIT               134929 137565  9903078  42831.24  32429.74
WILLOW RUN           DETROIT                 4241   4024       35  33858.26   1249.00
HONOLULU INTL        HONOLULU               92659  96780  9002217 139496.57  19951.37
INTERCONTINENTAL     HOUSTON               104249 105330  7543899  62425.36  21073.85
HOBBY                HOUSTON                61387  62582  3972327   3787.82    790.44
ELLINGTON FIELD      HOUSTON                 1188   1253    18967    199.45      1.46
MC CARRAN INTL       LAS VEGAS              92196  92072  7796218  11288.52  13132.33
HOLLYWOOD-BURBANK    LOS ANGELES            30444  30968  1698739   6414.64   1673.24
LONG BEACH           LOS ANGELES            14443  14712   692995   7837.98    929.96
LOS ANGELES INTL     LOS ANGELES           213302 215740 18438056 352823.50  71588.84
ORANGE COUNTY        LOS ANGELES            37275  38137  2203700   1163.62    173.94
MIAMI INTL           MIAMI/FT LAUDERDALE   106858 105658  9226103 187247.24  33739.59
FT LAUDERDALE INTL   MIAMI/FT LAUDERDALE    46584  46508  3875357  38330.43   7842.12
MINNEAPOLIS/ST PAUL  MINNEAPOLIS/ST PAUL   114872 116312  8837228  68045.03  42973.80
NEWARK               NEWARK/NEW YORK       130286 132817  9853925 163211.63  34065.82
JOHN F KENNEDY INTL  NEW YORK               74659  74507  9687068 275998.91  70305.53
LA GUARDIA           NEW YORK              129670 131310 10725465  23086.56  35713.98
ORLANDO INTL         ORLANDO                84924  84328  7677769  23940.73  12083.04
INTERNATIONAL        PHILADELPHIA          105830 107331  6970820  49572.70  42422.69
SKY HARBOR INTL      PHOENIX               148342 149274 10727494  42604.71  23812.85
GREATER PITTSBURGH   PITTSBURGH            125276 126550  7912394  21668.06  24285.06
LAMBERT-ST LOUIS     ST LOUIS              135089 137711  9332091  49363.12  37674.06
SALT LAKE CITY INTL  SALT LAKE CITY         77368  76754  5388178  35247.01  18788.60
SAN DIEGO INTL       SAN DIEGO              70156  70893  5260907  18882.04   8822.78
BUCHANAN FIELD       SAN FRANCISCO/OAKLAND   1286   1334    49532      7.95      0.00
OAKLAND METRO INTL   SAN FRANCISCO/OAKLAND  45986  46217  2670788  69875.80   3697.09
SAN FRANCISCO INTL   SAN FRANCISCO/OAKLAND 172007 187581 13474929 216259.94  55236.27
SEATTLE-TACOMA INTL  SEATTLE/TACOMA        122226 124518  7385594 103409.85  34636.56
TAMPA INTL           TAMPA/ST PETERSBURG    64396  64735  4781020  23048.08  17017.79
DULLES INTL          WASHINGTON             80651  82588  4448592  53609.69  25349.58
WASHINGTON NATIONAL  WASHINGTON             97043  98513  7034693  10470.14  27341.35
ALBUQUERQUE INTL     ALBUQUERQUE            34138  34386  2384647   5286.72   6441.62
ANCHORAGE INTL       ANCHORAGE              35891  35273  1362282 318663.23  62566.64
MUELLER MUNI         AUSTIN                 31494  31718  2054955   7549.00   3941.16
GREATER BUFFALO INTL BUFFALO/NIAGARA FALLS  30554  30926  1637293   8508.88   3962.18
GREATER CINCINNATI   CINCINNATI             65533  66217  3907625  16808.48  14295.54
HOPKINS INTL         CLEVELAND              76988  78018  3836050  19467.41  10427.55
PORT COLUMBUS INTL   COLUMBUS               29986  30338  1685100   3407.81  11595.43
LOCKBURN AFB         COLUMBUS                1735   1733        0  11311.08     99.03
COX/DAYTON INTL      DAYTON                 36966  37191  1845160  20922.76   6306.52
EL PASO INTL         EL PASO                28333  28519  1673243   4824.94   1760.09
SOUTHWEST            FORT MYERS             22210  22149  1712679   2435.07   1699.90
BRADLEY INTL         HARTFORD/SPRINGFIELD   31850  32217  2312455  14432.08  14325.94
INDIANAPOLIS INTL    INDIANAPOLIS           53471  53125  2601839 110350.63   9713.05
