STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160101,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160102,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160103,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160104,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160105,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160106,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160107,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160108,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160109,5, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160110,18, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160111,391, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160112,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160113,36, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160114,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160115,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160116,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160117,168, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160118,25, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160119,20, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160120,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160121,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160122,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160123,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160124,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160125,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160126,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160127,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160128,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160129,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160130,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160131,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160201,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160202,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160203,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160204,124, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160205,25, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160206,150, , ,N,9999,191, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160207,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160208,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160209,89, , ,N,9999,104, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160210,0, , ,N,9999,0, , ,N,9999
